purchase_no	purchaser	residence	social_status	aliquot_or_lot	section	township	range	meridian	county	acres	price_per_acre	total_price	type_of_sale	date_purchased	volume	page
0301807	HOOPER OBADIAH	MACON		W2NE	14	38N	14E	3	COOK	80.00	1.25	100.00	FD	05/13/1835	236	066
0026393	HOOPER OBODIA	UNKNOWN		W2NE	14	38N	14E	3	COOK	80.00	1.25	100.00	FD	05/13/1835	687	261
0020777	SMITH JEREMIAH	UNKNOWN		SW	14	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	261
0002715	WRIGHT JOHN	UNKNOWN		E2NW	14	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	261
0027233	COOKE THOMAS	UNKNOWN		W2NW	18	38N	14E	3	COOK	80.31	1.25	100.39	FD	06/27/1835	687	262
0002108	HUBBARD ELIJAH K	UNKNOWN		E2NW	18	38N	14E	3	COOK	80.15	1.25	100.20	FD	06/27/1835	687	262
0026403	HUBBARD ELIJAH K	UNKNOWN		W2NE	18	38N	14E	3	COOK	80.15	1.25	100.20	FD	06/27/1835	687	262
0004414	HUBBARD THOMAS R	UNKNOWN		E2SW	18	38N	14E	3	COOK	80.10	1.30	104.13	FD	06/27/1835	687	262
0016207	HUBBARD THOMAS R	UNKNOWN		SE	18	38N	14E	3	COOK	160.20	1.30	208.26	FD	06/27/1835	687	262
0029692	HUBBARD THOMAS R	UNKNOWN		W2SW	18	38N	14E	3	COOK	80.31	1.40	112.43	FD	06/27/1835	687	262
0001140	LEWIS LUDLOW F	UNKNOWN		E2NE	18	38N	14E	3	COOK	80.00	1.25	100.00	FD	08/04/1835	687	262
0029248	BASTWICK WILLIAM C	UNKNOWN		W2SW	20	38N	14E	3	COOK	80.00	1.25	100.00	FD	09/16/1835	687	262
0000834	EGAN WILLIAM B	UNKNOWN		E2NE	20	38N	14E	3	COOK	80.00	1.25	100.00	FD	09/03/1835	687	262
0010505	EGAN WILLIAM B	UNKNOWN		NW	20	38N	14E	3	COOK	160.00	1.25	200.00	FD	09/03/1835	687	262
0016082	EGAN WILLIAM B	UNKNOWN		SE	20	38N	14E	3	COOK	160.00	1.25	200.00	FD	09/03/1835	687	262
0494772	EGAN WILLIAM B	UNKNOWN		E2SW	20	38N	14E	3	COOK	80.00	1.25	100.00	FD	12/17/1835	687	262
0026408	HUBBARD ELIJAH K	UNKNOWN		W2NE	20	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	262
0005911	BARNUM TRUMAN	UNKNOWN		NE	21	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	262
0003986	BREESE JOIAH S	UNKNOWN		E2SW	21	38N	14E	3	COOK	80.00	1.60	128.00	FD	06/27/1835	687	262
0029292	BREESE JOSIAH S	UNKNOWN		W2SW	21	38N	14E	3	COOK	80.00	2.00	160.00	FD	06/27/1835	687	262
0002111	HUBBARD ELIJAH K	UNKNOWN		E2NW	21	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	262
0027517	HUBBARD ELIJAH K	UNKNOWN		W2NW	21	38N	14E	3	COOK	80.00	1.50	120.00	FD	06/27/1835	687	262
0029042	TAYLOR EDMUND D	UNKNOWN		W2SE	21	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	262
0003789	WHITLOCK JAMES	UNKNOWN		E2SE	21	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	262
0029617	HANDY HENRY S	UNKNOWN		W2SW	22	38N	14E	3	COOK	80.00	1.25	100.00	FD	09/10/1835	687	263
0028593	HARTWELL OLIVER	UNKNOWN		W2SE	22	38N	14E	3	COOK	80.00	1.65	132.00	FD	06/27/1835	687	263
0001025	HUBBARD ELIJAH K	UNKNOWN		E2NE	22	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	263
0026409	HUBBARD ELIJAH K	UNKNOWN		W2NE	22	38N	14E	3	COOK	80.00	1.45	116.00	FD	06/27/1835	687	263
0003444	MONTGOMERY LOTON WM	UNKNOWN		E2SE	22	38N	14E	3	COOK	80.00	1.25	100.00	FD	11/24/1835	687	263
0027750	OAKS NOYES	UNKNOWN		W2NW	22	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	263
0002508	SEYMOUR HENRY	UNKNOWN		E2NW	22	38N	14E	3	COOK	80.00	1.80	144.00	FD	06/27/1835	687	263
0004796	SEYMOUR HENRY	UNKNOWN		E2SW	22	38N	14E	3	COOK	80.00	1.45	116.00	FD	06/27/1835	687	263
0028239	BREESE JOSIAH S	UNKNOWN		W2SE	23	38N	14E	3	COOK	80.00	1.80	144.00	FD	06/27/1835	687	263
0003256	HUBBARD ELIJAH K	UNKNOWN		E2SE	23	38N	14E	3	COOK	80.00	1.60	128.00	FD	06/27/1835	687	263
0010846	MONTGOMERY LOTON W	UNKNOWN		NW	23	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	263
0001413	SMITH WILLIAM	UNKNOWN		E2NE	23	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	263
0026796	SMITH WILLIAM	UNKNOWN		W2NE	23	38N	14E	3	COOK	80.00	1.40	112.00	FD	06/27/1835	687	263
0020783	SPENCE JAMES	UNKNOWN		SW	23	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	263
0020061	BLAISDELL BENJAMIN	UNKNOWN		SW	24	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	263
0002878	BREESE SIDNEY	UNKNOWN		E2SE	24	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	263
0026410	HUBBARD ELIJAH K	UNKNOWN		W2NE	24	38N	14E	3	COOK	79.98	1.25	99.97	FD	08/25/1835	687	263
0028636	HUBBARD ELIJAH K	UNKNOWN		W2SE	24	38N	14E	3	COOK	80.00	1.25	100.00	FD	06/27/1835	687	263
0010992	RUSSELL JOHN	UNKNOWN		NW	24	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	263
0000028	WOOD CATHRINE A	UNKNOWN	F	EFRNE	24	38N	14E	3	COOK	48.88	1.25	61.10	FD	06/27/1835	687	263
0010290	BOND HARVEY	UNKNOWN		NW	25	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	263
0002916	CAMPBELL JAMES B	UNKNOWN		E2SE	25	38N	14E	3	COOK	80.00	1.25	100.00	FD	08/08/1835	687	263
0028329	COOK THOMAS	UNKNOWN		W2SE	25	38N	14E	3	COOK	80.00	1.30	104.00	FD	06/27/1835	687	263
0020226	DICKENSON AUGUSTUS	UNKNOWN		SW	25	38N	14E	3	COOK	160.00	1.25	200.00	FD	06/27/1835	687	263
